[ [-1.200,  2.000] , [36.200000], 36.200]
[ [-0.830,  2.196] , [230.565487], 230.565]
[ [-2.200,  2.000] , [816.800000], 816.800]
[ [-2.200,  3.000] , [348.800000], 348.800]
[ [-2.200,  3.000] , [348.800000], 348.800]
[ [-2.200,  1.000] , [1484.800000], 1484.800]
[ [-0.200,  1.000] , [93.600000], 93.600]
[ [-0.200,  1.000] , [93.600000], 93.600]
[ [-2.200,  1.000] , [1484.800000], 1484.800]
[ [-2.200,  1.000] , [1484.800000], 1484.800]
[ [-2.200,  1.000] , [1484.800000], 1484.800]
[ [-0.870,  1.647] , [82.877591], 82.878]
[ [-0.200,  2.069] , [413.232852], 413.233]
[ [-0.200,  2.069] , [413.232852], 413.233]
[ [-0.834,  1.658] , [95.937798], 95.938]
[ [-0.700,  1.998] , [230.170337], 230.170]
[ [-1.278,  1.851] , [9.919518], 9.920]
[ [-1.374,  1.785] , [6.715887], 6.716]
[ [-1.374,  1.839] , [5.879554], 5.880]
[ [-1.373,  1.837] , [5.872808], 5.873]
[ [-1.372,  1.832] , [5.887367], 5.887]
[ [-1.371,  1.835] , [5.822655], 5.823]
[ [-1.454,  1.984] , [7.744762], 7.745]
[ [-1.324,  1.761] , [5.406879], 5.407]
[ [-1.274,  1.626] , [5.170921], 5.171]
[ [-1.181,  1.357] , [4.886367], 4.886]
[ [-1.015,  0.926] , [5.118895], 5.119]
[ [-1.341,  1.089] , [55.695260], 55.695]
[ [-1.046,  1.223] , [5.841241], 5.841]
[ [-1.248,  1.425] , [6.801893], 6.802]
[ [-1.157,  1.391] , [4.921786], 4.922]
[ [-1.164,  1.341] , [4.700557], 4.701]
[ [-1.130,  1.345] , [5.002803], 5.003]
[ [-1.197,  1.307] , [6.431914], 6.432]
[ [-1.197,  1.307] , [6.431914], 6.432]
[ [-1.130,  1.347] , [5.017537], 5.018]
[ [-1.130,  1.374] , [5.478759], 5.479]
[ [-1.130,  1.374] , [5.478759], 5.479]
[ [-1.141,  1.311] , [4.591772], 4.592]
[ [-1.081,  1.371] , [8.381736], 8.382]
[ [-1.081,  1.371] , [8.381736], 8.382]
[ [-1.081,  1.371] , [8.381736], 8.382]
[ [-1.081,  1.251] , [4.992301], 4.992]
[ [-1.081,  1.251] , [4.992301], 4.992]
[ [-1.081,  1.251] , [4.992301], 4.992]
[ [-1.121,  1.292] , [4.622857], 4.623]
[ [-1.201,  1.371] , [5.374230], 5.374]
[ [-1.201,  1.371] , [5.374230], 5.374]
[ [-1.132,  1.302] , [4.588403], 4.588]
[ [-1.115,  1.251] , [4.478602], 4.479]
[ [-1.064,  1.131] , [4.259689], 4.260]
[ [-0.970,  0.891] , [4.143821], 4.144]
[ [-1.450,  0.411] , [292.616011], 292.616]
[ [-1.450,  0.411] , [292.616011], 292.616]
[ [-1.450,  0.411] , [292.616011], 292.616]
[ [-0.791,  0.533] , [4.060148], 4.060]
[ [-0.076, -0.182] , [4.689697], 4.690]
[ [-0.902,  0.795] , [3.647976], 3.648]
[ [-0.894,  0.788] , [3.604271], 3.604]
[ [-1.125,  1.311] , [4.725149], 4.725]
[ [-0.891,  0.785] , [3.586295], 3.586]
[ [-0.746,  0.523] , [3.163009], 3.163]
[ [-0.474, -0.000] , [7.240729], 7.241]
[ [-0.786,  0.586] , [3.284882], 3.285]
[ [-0.679,  0.392] , [3.290674], 3.291]
[ [-0.681,  0.517] , [3.115713], 3.116]
